Engine RPM,Lub Oil Pressure,Fuel Pressure,Coolant Pressure,Lub Oil Temp,Coolant Temp,RPM_x_OilPressure,RPM_x_FuelPressure,RPM_x_CoolantPressure,OilTemp_x_OilPressure,CoolantTemp_x_CoolantPressure,RPM_squared,OilPressure_squared,TempDiff,OilFuelPressureRatio,CoolantOilPressureRatio,OilHealthIndex,CoolantStress,OilTempPerRPM,CoolantTempPerRPM,PressureSum,TempSum,Engine Condition
1182,2.171086112,3.85966572,1.577208849,77.3864909,84.03310818,2566.223784384,4562.12488104,1864.260859518,168.01273564940436,132.5377618304703,1397124,4.713614905719275,-6.646617280000001,0.5625061098539615,0.7264604171258146,0.02805510443354262,53.279598927992744,0.06547080442853569,0.07109400009213705,7.607960681,161.41959908,0
809,4.664444875,7.566739243,2.691795159,77.20860926,75.2562052,3773.5359038750003,6121.492047586999,2177.6622836310003,360.13530176868454,202.57428884207064,654481,21.757045991913767,1.9524040600000063,0.616440465141523,0.5770878752023251,0.06041353236760099,27.95761668222218,0.0954370941465549,0.0930237393164107,14.922979277,152.46481446,0
1060,2.806662157,6.86346746,1.315029493,84.63821756,77.681358,2975.06188642,7275.275507599999,1393.9312625799998,237.55088226158486,102.15327682629149,1123600,7.877352463535892,6.956859559999998,0.40892766876647085,0.4685384100048597,0.033160695070754094,59.07190625122638,0.07984737498127606,0.07328429993086387,10.985159110000001,162.31957556,0
1306,4.530172556,5.348518877,2.676993312,75.64339988,72.77250479,5916.405358136,6985.165653362,3496.153265472,342.67765417890973,194.81150862031797,1705636,20.522463387135573,2.8708950900000048,0.8469955539439795,0.5909251111261398,0.059888536254294335,27.184407700751212,0.05791990798015321,0.055721672844010965,12.555684745,148.41590467,0
1123,3.596865898,5.056221015,3.050391789,83.48153818,79.14113899,4039.280403454,5678.136199845,3425.589979047,300.271897792227,241.41148054720375,1261129,12.937444288195346,4.340399189999999,0.7113742013957035,0.8480691322484405,0.04308576403035122,25.944573195750497,0.07433796803709887,0.07047296430946307,11.703478701999998,162.62267717,0
552,1.602354128,5.379013382,1.49891613,76.33965308,80.31756643,884.499478656,2969.2153868640003,827.40170376,122.32315824282593,120.38929584427352,304704,2.5675387515186405,-3.9779133499999944,0.2978899133198116,0.9354456473521519,0.02098980074393337,53.583727093705306,0.1382964727204774,0.14550283747191514,8.48028364,156.65721951,1
665,3.934757925,2.968280435,1.229311758,76.67724395,76.69063584,2616.614020125,1973.906489275,817.4923190699999,301.7063932994208,94.2767003666082,442225,15.482319928350305,-0.013391889999994078,1.3256013660308459,0.31242365324833715,0.05131584901838599,62.38496699958596,0.11530412606721185,0.11532426424763269,8.132350118,153.36787979000002,0
1244,3.943147638,5.018652244,1.28989571,73.74736462,75.36255856,4905.275661672,6243.203391536,1604.63026324,290.7967466100778,97.20984098116777,1547536,15.54841329506498,-1.6151939399999975,0.7856983629451169,0.32712327848088585,0.053468318560936284,58.42526612847939,0.059282447396075195,0.06058083480660704,10.251695592,149.10992318,1
914,2.981207242,18.51834456,2.66613553,85.48418284,82.44903468,2724.823419188,16925.76692784,2436.84787442,254.84606495906013,219.82030077455016,835396,8.887596619753246,3.0351481600000056,0.1609866946450912,0.8943137525379214,0.034874372171346917,30.924535841380933,0.09352755223902894,0.09020682121421573,24.165687331999997,167.93321752,0
1306,4.935560776,5.131644538,1.921882419,77.32918694,83.86799904,6445.842373456,6701.9277666279995,2509.978439214,381.66290190103547,161.18443287168486,1705636,24.359760173589724,-6.538812100000001,0.9617891063309058,0.38939486652674,0.06382532789338898,43.6384424834876,0.059210709709639577,0.06421745710243686,11.989087732999998,161.19718598,0
